0;5;10
0;16;0
0;19;6
0;22;11
1;10;7
1;16;2
1;17;12
1;23;7
2;13;7
2;22;6
2;29;1
3;4;12
3;5;12
3;9;6
4;9;8
4;13;10
4;16;7
4;19;2
4;20;8
4;28;12
5;8;12
5;15;1
5;17;7
5;20;12
5;24;5
5;25;11
6;12;11
6;16;10
7;18;7
7;24;12
7;28;4
8;9;8
8;14;10
8;16;6
8;27;10
9;13;7
9;15;12
9;21;0
9;23;11
9;28;4
10;12;8
10;13;6
10;17;11
11;18;6
11;24;4
11;29;9
12;20;12
13;23;4
13;24;11
13;28;2
13;29;11
14;17;7
14;19;7
14;25;12
15;22;1
15;24;0
15;25;7
16;19;6
16;20;12
16;24;1
16;27;10
16;29;4
17;21;5
17;24;6
18;26;0
18;27;9
18;28;10
19;20;4
19;22;8
20;25;5
20;29;6
21;29;4
23;26;8
25;28;10
