0;1;2
0;10;0
0;19;1
0;21;0
0;24;3
0;25;1
0;26;0
1;4;2
1;6;3
1;10;2
1;14;3
1;16;2
1;22;0
1;25;2
1;26;1
2;4;1
2;5;1
2;15;2
2;16;3
2;20;1
2;22;3
2;28;1
3;4;3
3;5;2
3;9;3
3;13;3
3;14;2
3;19;2
3;21;3
4;8;0
4;10;1
4;12;3
4;14;2
4;22;3
4;26;0
4;27;0
4;28;0
5;6;2
5;8;0
5;11;0
5;15;3
5;18;1
5;21;3
5;22;0
6;7;3
6;10;1
6;12;2
6;13;3
6;20;3
6;21;2
6;22;3
6;25;1
6;29;2
7;19;3
7;21;2
7;24;3
7;27;0
8;9;0
8;13;0
8;16;0
8;17;3
8;19;1
8;26;2
9;18;3
9;27;0
9;28;1
10;15;3
10;25;0
10;26;2
11;14;1
11;15;2
11;17;2
11;29;2
12;22;2
12;24;2
12;25;2
12;29;0
13;15;2
13;17;3
13;18;0
13;20;2
13;22;0
13;24;2
13;27;1
14;16;1
14;22;3
14;23;2
15;16;2
15;20;3
15;23;1
15;28;2
16;17;3
16;18;2
17;20;2
18;19;2
18;23;0
18;26;2
18;27;1
18;29;2
19;23;3
19;27;2
19;29;1
20;24;3
20;28;3
20;29;2
21;24;3
21;26;2
21;27;2
22;23;2
22;24;1
22;25;1
22;26;1
24;25;1
25;26;3
25;27;0
26;28;3
27;29;1
