0;1;2
0;4;17
0;11;22
0;20;2
0;25;24
0;29;18
0;32;23
0;34;19
0;35;22
0;40;18
0;42;4
0;45;6
0;51;20
0;52;11
0;57;13
0;59;9
0;65;5
0;67;19
0;75;1
0;77;12
0;90;14
0;94;13
0;117;18
0;138;13
0;139;0
0;143;4
0;149;23
0;153;16
0;154;6
0;164;6
0;174;19
0;179;8
0;181;22
0;182;10
0;187;4
0;188;19
0;189;11
1;9;24
1;15;13
1;22;24
1;26;9
1;27;9
1;40;10
1;42;4
1;43;18
1;54;13
1;69;4
1;77;0
1;83;17
1;87;8
1;91;7
1;99;8
1;100;10
1;107;23
1;111;20
1;114;0
1;117;12
1;124;4
1;125;20
1;132;16
1;135;19
1;139;15
1;140;1
1;153;2
1;154;9
1;156;16
1;162;9
1;166;7
1;168;0
1;170;6
1;171;2
1;175;16
1;180;21
1;187;3
1;189;9
1;195;17
1;197;15
2;8;6
2;14;22
2;15;16
2;18;17
2;20;1
2;21;2
2;24;24
2;25;20
2;29;19
2;31;10
2;32;24
2;38;9
2;42;10
2;44;7
2;48;6
2;53;17
2;58;12
2;62;15
2;71;12
2;76;3
2;88;23
2;94;20
2;105;7
2;107;23
2;110;13
2;115;11
2;117;12
2;119;7
2;120;14
2;121;13
2;126;9
2;128;1
2;131;11
2;141;5
2;142;7
2;146;5
2;149;10
2;156;1
2;158;22
2;167;4
2;169;23
2;174;1
2;183;4
2;185;14
2;192;15
2;195;3
2;196;22
2;197;1
3;6;5
3;8;22
3;9;24
3;12;19
3;14;7
3;19;24
3;25;9
3;29;11
3;31;21
3;32;3
3;33;8
3;38;10
3;41;23
3;57;21
3;60;0
3;65;17
3;72;0
3;74;18
3;79;19
3;86;2
3;90;0
3;96;1
3;102;12
3;113;24
3;118;7
3;128;3
3;132;12
3;140;0
3;145;11
3;147;21
3;149;0
3;151;1
3;152;19
3;154;19
3;156;19
3;158;14
3;159;19
3;164;12
3;166;6
3;167;16
3;172;4
3;180;8
3;181;17
3;193;1
3;197;10
4;6;10
4;7;14
4;12;19
4;16;9
4;18;11
4;20;11
4;23;7
4;24;0
4;28;21
4;30;9
4;37;16
4;43;17
4;47;13
4;57;3
4;58;24
4;61;20
4;64;19
4;70;4
4;77;6
4;80;19
4;90;2
4;109;2
4;110;3
4;111;11
4;112;10
4;114;14
4;118;9
4;119;6
4;120;4
4;122;6
4;126;12
4;127;19
4;141;15
4;145;2
4;146;6
4;153;20
4;154;4
4;155;17
4;167;19
4;168;5
4;169;10
4;172;8
4;173;16
4;181;17
4;182;1
4;186;5
4;196;24
5;6;0
5;17;1
5;18;23
5;22;6
5;25;1
5;28;19
5;34;0
5;38;20
5;40;10
5;46;1
5;48;20
5;49;9
5;62;0
5;66;23
5;70;17
5;71;3
5;73;23
5;78;6
5;84;7
5;96;24
5;104;10
5;105;1
5;106;5
5;108;5
5;111;5
5;115;13
5;121;12
5;128;18
5;132;14
5;136;1
5;140;7
5;143;17
5;148;13
5;150;18
5;151;13
5;156;11
5;157;22
5;161;10
5;163;12
5;170;7
5;174;21
5;175;22
5;176;15
5;177;19
5;182;2
5;190;22
5;192;20
6;12;8
6;13;11
6;15;17
6;23;24
6;24;2
6;31;13
6;33;13
6;38;8
6;43;24
6;44;20
6;48;1
6;66;19
6;74;6
6;78;10
6;85;7
6;89;18
6;92;17
6;93;1
6;95;1
6;109;3
6;110;12
6;119;7
6;127;10
6;129;9
6;132;16
6;136;8
6;141;3
6;148;22
6;149;14
6;157;7
6;164;0
6;168;0
6;172;6
6;175;18
6;176;1
6;178;7
6;183;22
6;184;13
6;187;11
6;188;4
6;189;4
6;191;17
6;199;3
