0;1;2
0;2;3
0;6;3
0;7;2
0;9;0
0;10;0
0;12;2
0;14;2
0;19;2
1;3;3
1;10;0
1;11;1
1;17;2
1;18;1
2;5;0
2;11;3
2;12;0
3;5;1
3;7;1
3;9;0
3;10;1
3;14;0
3;17;2
3;18;1
4;7;2
4;8;0
4;13;3
4;15;2
4;16;2
4;19;3
5;6;2
5;7;1
5;9;0
5;10;3
5;11;1
5;13;3
5;16;2
5;18;2
6;7;2
6;8;0
6;13;2
6;16;2
6;17;2
6;19;0
7;11;2
7;16;0
8;9;3
8;10;2
8;14;0
8;15;2
9;11;0
9;13;2
9;16;1
9;17;0
9;18;2
10;11;3
10;13;2
10;14;0
10;16;1
10;19;0
11;12;1
11;13;1
11;14;1
11;19;0
12;15;2
12;18;0
12;19;1
13;14;3
13;16;1
14;15;2
14;16;3
14;19;2
15;19;0
16;18;2
16;19;1
17;18;3
18;19;2
