0;7;14
0;10;22
0;16;27
0;23;17
0;28;11
0;30;23
0;32;8
0;33;4
0;34;26
0;35;23
0;37;16
0;38;11
0;39;18
0;40;13
0;42;2
0;44;0
0;47;17
0;48;13
0;49;17
0;52;12
0;53;9
0;64;1
0;65;25
0;67;23
0;70;20
0;73;7
0;77;22
0;81;27
0;86;25
0;87;3
0;88;24
0;89;14
0;90;15
0;99;24
0;101;2
0;102;17
0;104;5
0;106;11
0;108;7
0;110;24
0;111;15
0;112;5
0;117;15
0;121;8
0;122;11
0;128;16
0;132;1
0;134;17
0;139;12
0;140;26
0;152;12
0;158;17
0;160;26
0;161;5
0;162;3
0;163;16
0;167;20
0;171;22
0;181;25
0;193;26
0;194;27
0;199;11
0;203;26
0;206;20
0;207;11
0;212;1
0;214;18
0;215;8
0;219;15
0;231;20
0;233;7
0;235;5
0;236;17
0;240;12
0;241;22
0;245;4
0;248;9
0;249;19
0;256;4
0;258;1
0;260;17
0;261;19
0;263;7
0;264;22
0;265;19
0;266;8
0;275;16
0;277;20
0;284;24
0;287;20
0;288;10
0;291;2
0;294;11
1;2;13
1;3;3
1;5;22
1;6;20
1;7;14
1;10;23
1;12;19
1;16;10
1;17;10
1;20;4
1;25;12
1;27;21
1;29;14
1;38;25
1;41;23
1;42;16
1;44;22
1;45;9
1;49;10
1;53;24
1;54;6
1;55;21
1;56;12
1;58;14
1;59;19
1;60;23
1;62;1
1;64;6
1;72;1
1;75;4
1;77;0
1;79;13
1;82;20
1;83;25
1;84;27
1;88;1
1;89;24
1;93;13
1;94;26
1;96;23
1;101;0
1;102;14
1;108;0
1;119;8
1;120;25
1;124;14
1;128;5
1;129;19
1;130;7
1;136;16
1;141;27
1;143;17
1;145;18
1;147;23
1;155;2
1;160;24
1;162;6
1;165;20
1;166;12
1;168;14
1;171;8
1;177;3
1;181;12
1;183;26
1;185;19
1;186;26
1;188;27
1;194;2
1;202;25
1;204;21
1;205;6
1;217;24
1;223;26
1;224;5
1;230;12
1;231;15
1;233;1
1;235;4
1;244;20
1;250;4
1;253;20
1;254;16
1;255;17
1;256;3
1;260;19
1;269;16
1;271;1
1;272;21
1;273;2
1;274;17
1;275;15
1;279;5
1;280;21
1;287;12
1;288;4
1;289;3
1;290;8
1;293;22
1;294;23
1;296;27
1;297;9
2;4;16
2;10;19
2;19;9
2;23;14
2;27;25
2;28;10
2;35;13
2;36;18
2;38;9
2;39;2
2;40;9
2;42;11
2;43;5
2;46;4
2;49;9
2;56;19
2;59;23
2;61;18
2;62;17
2;70;5
2;71;18
2;72;14
2;74;16
2;75;7
2;81;10
2;86;14
2;87;21
2;93;23
2;94;20
2;100;16
2;101;3
2;104;15
2;105;16
2;106;2
2;108;17
2;109;3
2;114;21
2;120;15
2;126;7
2;127;10
2;129;1
2;130;8
2;132;24
2;135;25
2;136;3
2;138;27
2;139;22
2;142;9
2;149;3
2;151;27
2;152;20
2;153;26
2;156;23
2;166;11
2;167;20
2;174;9
2;175;22
2;176;14
2;179;24
2;185;4
2;189;26
2;191;12
2;192;26
2;193;26
2;199;18
2;200;6
2;201;0
2;202;3
2;205;11
2;206;14
2;207;14
2;209;3
2;215;26
2;216;23
2;219;25
2;220;6
2;221;10
2;222;27
2;229;26
2;232;14
2;234;4
2;236;17
2;238;7
2;239;14
2;241;27
2;244;26
2;251;21
2;252;1
2;259;7
2;264;9
2;271;22
2;276;23
2;277;19
2;279;11
2;280;14
2;287;23
2;289;27
2;290;15
2;297;11
2;298;9
3;7;22
3;14;3
3;15;6
3;18;21
3;19;27
3;21;23
3;23;27
3;29;25
3;36;26
3;40;4
3;42;6
3;43;0
3;48;17
3;63;3
3;65;18
3;69;8
3;73;6
3;76;22
3;79;1
3;80;4
3;82;27
3;84;7
3;99;22
3;100;0
3;101;17
3;105;15
3;106;3
3;110;19
3;112;20
3;117;24
3;118;0
3;121;27
3;122;5
3;124;2
3;127;0
3;128;7
3;132;25
3;133;2
3;134;27
3;135;8
3;144;25
3;146;10
3;155;27
3;160;3
3;161;8
3;162;18
3;163;22
3;176;5
3;178;15
3;180;24
3;181;1
3;182;16
3;186;9
3;190;14
3;193;20
3;197;18
3;198;27
3;212;12
3;217;12
3;223;27
3;224;5
3;227;12
3;228;2
3;233;10
3;235;23
3;236;22
3;238;5
3;240;12
3;244;16
3;245;19
3;247;17
3;249;0
3;253;2
3;257;16
3;259;3
3;260;18
3;267;17
3;268;24
3;273;17
3;276;1
3;281;1
3;286;21
3;287;25
3;297;27
3;298;8
4;5;12
4;6;8
4;14;16
4;16;24
4;25;27
4;31;26
4;32;26
4;33;6
4;36;25
4;39;12
4;49;3
4;52;13
4;54;21
4;55;17
4;58;27
4;63;18
4;65;24
4;67;12
4;69;0
4;72;5
4;74;1
4;79;21
4;81;14
4;90;16
4;92;1
4;95;5
4;96;3
4;99;20
4;101;11
4;102;4
4;103;6
4;106;17
4;109;26
4;110;25
4;111;0
4;114;11
4;115;18
4;116;23
4;118;18
4;120;19
4;122;27
4;123;14
4;126;15
4;127;11
4;129;1
4;133;13
4;136;5
4;138;8
4;142;26
4;144;0
4;145;1
4;154;1
4;164;11
4;165;6
4;170;23
4;173;19
4;177;27
4;180;11
4;181;23
4;186;26
4;189;24
4;191;8
4;193;26
4;194;4
4;198;3
4;200;12
4;201;2
4;205;22
4;210;0
4;211;5
4;212;18
4;215;4
4;220;12
4;221;18
4;222;24
4;223;20
4;230;3
4;231;25
4;234;11
4;241;21
4;245;7
4;250;17
4;253;26
4;256;27
4;258;2
4;261;6
4;263;21
4;266;0
4;270;2
4;271;22
4;272;25
4;273;6
4;279;1
4;281;25
4;282;8
4;285;25
4;287;3
4;291;10
4;295;12
4;296;26
4;298;12
4;299;19
5;6;2
5;10;23
5;12;18
5;13;0
5;18;6
5;23;24
5;26;2
5;29;11
5;33;6
5;37;19
5;38;15
5;43;9
5;48;2
5;55;16
5;59;20
5;60;8
5;61;24
5;63;25
5;66;27
5;70;15
5;71;16
5;74;3
5;82;15
5;86;18
5;88;27
5;90;13
5;96;8
5;97;1
5;103;7
5;106;18
5;107;7
5;110;5
5;112;20
5;113;11
5;114;6
5;117;1
5;121;25
5;127;17
5;129;20
5;141;21
5;143;18
5;146;2
5;148;4
5;149;2
5;152;0
5;153;11
5;159;14
5;161;19
5;165;0
5;168;14
5;173;13
5;180;0
5;183;18
5;185;8
5;187;22
5;193;22
5;194;16
5;198;9
5;208;7
5;211;14
5;212;20
5;222;5
5;225;25
5;230;17
5;237;15
5;238;2
5;240;6
5;241;15
5;244;15
5;245;8
5;249;3
5;259;23
5;263;21
5;264;22
5;281;18
5;284;15
5;286;6
5;291;11
5;294;0
6;8;23
6;15;1
6;17;21
6;20;1
6;21;8
6;23;22
6;27;3
6;32;27
6;35;19
6;37;4
6;39;23
6;42;13
6;44;15
6;49;8
6;51;25
6;52;8
6;55;18
6;56;12
6;60;27
6;62;23
6;66;10
6;72;13
6;74;27
6;75;18
6;76;7
6;87;24
6;88;20
6;89;18
6;96;1
6;97;5
6;101;15
6;106;18
6;109;27
6;110;8
6;114;10
6;121;21
6;124;18
6;127;1
6;129;16
6;131;17
6;132;11
6;134;7
6;136;3
6;140;7
6;142;14
6;145;4
6;147;2
6;151;25
6;154;21
6;160;2
6;163;16
6;164;6
6;166;5
6;171;23
6;172;24
6;173;0
6;175;15
6;179;25
6;182;5
6;188;6
6;191;5
6;192;19
6;194;7
6;197;12
6;199;6
6;204;25
6;207;18
6;210;2
6;211;6
6;212;2
6;215;27
6;216;12
6;217;19
6;218;3
6;219;18
6;221;12
6;223;1
6;225;24
6;229;2
6;231;5
6;242;3
6;243;14
6;244;14
6;245;14
6;250;2
6;252;10
6;255;0
6;256;13
6;258;2
6;265;13
6;272;15
6;277;18
6;278;5
6;279;27
6;287;24
6;288;19
6;293;24
6;294;0
6;295;27
6;299;21
7;8;21
7;12;10
7;17;5
7;18;6
7;19;26
7;25;7
7;31;11
7;33;6
7;34;10
7;35;6
7;36;16
7;47;26
7;48;18
7;51;26
7;53;7
7;57;21
7;62;16
7;68;9
7;69;10
7;70;6
7;71;8
7;75;23
7;78;10
7;81;18
7;83;19
7;84;9
7;85;19
7;87;20
7;92;24
7;94;27
7;101;13
7;102;3
7;103;4
7;104;13
7;106;13
7;107;16
7;108;11
7;114;4
7;120;26
7;123;20
7;126;7
7;128;5
7;131;6
7;134;1
7;139;1
7;143;9
7;144;26
7;145;24
7;148;15
7;153;15
7;154;10
7;156;6
7;163;26
7;164;24
7;166;15
7;168;7
7;170;20
7;175;26
7;178;21
7;179;27
7;185;20
7;186;15
7;187;27
7;191;26
7;200;5
7;205;13
7;214;23
7;217;13
7;219;25
7;223;18
7;225;6
7;231;22
7;232;19
7;235;26
7;242;20
7;244;22
7;247;14
7;249;20
7;250;9
7;253;20
7;257;8
7;259;0
7;260;0
7;265;15
7;269;7
7;270;8
7;271;27
7;272;5
7;274;27
7;279;22
7;282;13
7;283;5
7;293;3
7;298;27
8;16;7
8;18;1
8;21;13
8;22;17
8;24;6
8;25;3
8;26;24
8;32;21
8;33;20
8;35;4
8;42;14
8;44;12
8;46;13
8;48;11
8;51;13
8;53;5
8;54;10
8;57;20
8;60;1
8;61;8
8;67;24
8;68;22
8;70;15
8;76;24
8;78;26
8;84;17
8;86;11
8;91;7
8;94;26
8;100;19
8;106;19
8;111;4
8;114;23
8;115;10
8;116;8
8;121;11
8;122;2
8;126;12
8;128;9
8;130;14
8;133;10
8;136;1
8;142;4
8;145;27
8;146;0
8;149;1
8;150;24
8;154;15
8;158;21
8;160;25
8;161;0
8;164;13
8;165;3
8;168;8
8;170;12
8;173;23
8;185;14
8;187;24
8;190;16
8;191;2
8;193;15
8;195;16
8;202;23
8;203;25
8;207;21
8;208;5
8;210;13
8;213;13
8;216;14
8;217;2
8;223;7
8;226;20
8;230;15
8;231;27
8;233;26
8;238;25
8;244;10
8;247;11
8;249;3
8;250;10
8;251;10
8;253;25
8;254;5
8;259;12
8;264;26
8;270;1
8;271;16
8;274;20
8;279;6
8;280;23
8;289;4
8;290;1
8;292;7
8;295;2
8;297;13
8;299;9
9;10;2
9;11;21
9;15;19
9;16;15
9;21;11
9;23;4
9;24;12
9;26;24
9;28;21
9;29;10
9;31;14
9;35;1
9;36;24
9;38;27
9;40;18
9;41;6
9;44;9
9;48;3
9;50;23
9;53;0
9;56;1
9;59;0
9;62;24
9;65;23
9;69;22
9;71;5
9;74;19
9;76;21
9;82;8
9;84;8
9;86;5
9;87;2
9;90;23
9;94;8
9;97;7
9;99;3
9;101;23
9;104;5
9;107;5
9;108;4
9;110;15
9;111;21
9;116;17
9;118;14
9;132;23
9;133;8
9;137;8
9;139;6
9;143;18
9;146;2
9;147;1
9;150;19
9;159;11
9;160;7
9;161;22
9;168;2
9;169;27
9;171;24
9;172;23
9;173;3
9;175;1
9;177;2
9;180;15
9;189;25
9;192;9
9;195;8
9;196;8
9;197;0
9;199;23
9;200;6
9;201;23
9;207;7
9;208;24
9;213;11
9;214;6
9;220;0
9;222;26
9;226;4
9;233;9
9;234;16
9;239;14
9;240;1
9;242;13
9;247;3
9;251;4
9;252;14
9;255;9
9;256;18
9;257;8
9;260;13
9;261;9
9;263;19
9;264;3
9;265;21
9;266;22
9;270;4
9;276;14
9;277;24
9;278;8
9;290;21
9;296;4
9;297;12
9;299;19
10;14;0
10;15;24
10;20;18
10;25;22
10;28;13
10;30;10
10;32;19
10;40;9
10;41;17
10;43;6
10;50;8
10;57;2
10;60;2
10;62;12
10;72;14
10;74;11
10;76;15
10;77;22
10;78;11
10;81;14
10;97;5
10;98;14
10;99;9
10;100;18
10;101;8
10;104;10
10;110;23
10;112;6
10;113;25
10;116;26
10;118;15
10;120;7
10;123;3
10;127;24
10;135;0
10;137;3
10;140;13
10;146;13
10;150;6
10;151;26
10;153;7
10;154;27
10;161;0
10;172;20
10;174;12
10;186;14
10;187;10
10;189;6
10;197;27
10;198;25
10;199;3
10;202;7
10;211;4
10;214;9
10;220;24
10;221;2
10;229;27
10;230;5
10;232;24
10;233;3
10;237;15
10;239;21
10;244;0
10;245;3
10;247;3
10;250;27
10;251;15
10;252;7
10;256;26
10;257;27
10;258;2
10;262;6
10;267;22
10;269;11
10;272;24
10;274;12
10;276;23
10;277;15
10;280;23
10;281;4
10;283;23
10;284;17
10;287;10
10;288;19
10;289;8
10;291;17
10;293;16
10;295;19
10;297;12
11;14;24
11;16;16
11;21;4
11;23;3
11;26;22
11;29;23
11;35;23
11;36;11
11;41;10
11;45;25
11;52;10
11;54;15
11;63;5
11;67;0
11;68;24
11;70;7
11;71;1
11;72;26
11;73;14
11;76;10
11;77;21
11;78;13
11;88;20
11;92;12
11;93;23
11;104;27
11;106;20
11;107;25
11;110;7
11;112;4
11;114;22
11;122;0
11;132;17
11;136;22
11;141;27
11;145;16
11;147;16
11;149;27
11;150;7
11;153;18
11;155;26
11;157;23
11;158;24
11;160;2
11;170;14
11;171;5
11;173;21
11;179;2
11;183;23
11;185;14
11;189;26
11;190;10
11;199;0
11;203;15
11;204;8
11;207;18
11;208;21
11;209;24
11;217;10
11;224;16
11;232;27
11;233;6
11;240;4
11;241;2
11;250;24
11;256;27
11;258;8
11;259;11
11;260;19
11;263;11
11;276;0
11;280;8
11;282;17
11;288;22
11;290;8
11;293;6
11;298;6
12;15;4
12;22;25
12;26;27
12;27;18
12;29;11
12;30;1
12;33;1
12;34;17
12;39;16
12;43;23
12;45;24
12;48;20
12;50;21
12;53;24
12;54;0
12;55;0
12;58;15
12;64;1
12;69;8
12;81;5
12;82;25
12;87;25
12;93;7
12;94;4
12;98;21
12;99;18
12;100;8
12;101;3
12;108;24
12;113;21
12;116;1
12;118;7
12;122;4
12;123;23
12;124;3
12;125;11
12;127;2
12;132;7
12;133;5
12;140;5
12;150;27
12;151;13
12;153;17
12;157;15
12;158;17
12;159;2
12;161;25
12;173;9
12;174;14
12;177;16
12;179;3
12;182;17
12;187;16
12;189;5
12;193;16
12;198;26
12;201;11
12;202;12
12;206;14
12;210;20
12;214;13
12;215;20
12;216;12
12;218;20
12;219;15
12;225;7
12;227;13
12;231;27
12;232;5
12;235;19
12;237;4
12;238;5
12;242;27
12;245;0
12;246;18
12;248;26
12;249;18
12;250;25
12;252;3
12;256;9
12;260;17
12;262;26
12;265;21
12;271;7
12;272;11
12;274;16
12;277;3
12;279;21
12;282;12
12;288;6
12;292;5
12;296;20
13;23;8
13;28;20
13;29;14
13;34;4
13;38;11
13;40;15
13;50;20
13;51;20
13;52;11
13;56;23
13;60;26
13;61;19
13;62;7
13;64;14
13;67;9
13;69;19
13;71;4
13;73;26
13;74;9
13;75;2
13;80;15
13;81;20
13;83;27
13;85;17
13;90;2
13;93;6
13;94;9
13;99;25
13;112;20
13;113;13
13;114;11
13;115;25
13;118;3
13;119;2
13;121;27
13;126;17
13;127;5
13;141;7
13;142;0
13;144;9
13;145;23
13;147;4
13;148;22
13;150;6
13;155;8
13;162;14
13;174;12
13;177;11
13;179;13
13;184;25
13;185;12
13;192;22
13;193;4
13;195;3
13;201;23
13;202;19
13;208;11
13;209;21
13;210;0
13;213;5
13;222;14
13;223;25
13;231;17
13;232;22
13;233;19
13;234;2
13;236;0
