0;3;6
0;14;0
1;9;5
1;11;1
1;13;5
1;20;0
1;22;4
1;36;4
2;7;2
2;17;0
2;24;2
2;30;2
2;31;3
2;33;2
2;35;1
3;6;2
3;14;3
3;37;5
4;7;6
4;14;3
4;36;0
4;37;6
5;17;6
5;23;1
5;37;0
6;9;1
6;11;0
6;13;5
6;24;5
6;34;2
6;38;1
6;39;3
7;13;6
7;18;5
7;21;0
7;22;6
7;31;1
7;36;3
7;38;6
8;22;6
8;24;5
8;30;6
8;36;5
8;37;5
9;13;4
9;15;0
9;21;3
9;23;6
9;24;5
9;27;6
10;21;1
10;24;6
10;37;4
10;39;6
11;14;4
11;15;4
11;26;6
11;35;2
12;15;1
12;17;5
12;25;0
12;30;1
12;31;1
12;35;3
13;15;6
13;27;2
13;30;5
13;34;1
13;36;3
13;37;6
14;17;2
14;19;2
14;23;0
14;30;0
14;34;6
14;38;2
15;17;2
15;20;4
15;21;0
15;30;5
15;31;2
16;17;4
16;19;2
16;22;6
16;26;3
16;27;2
16;37;6
18;23;1
18;24;1
18;28;4
18;30;6
18;36;1
19;20;4
19;34;6
20;22;3
20;30;5
20;34;4
21;28;2
21;30;5
22;31;1
22;35;4
22;38;6
22;39;4
23;27;0
23;35;4
23;38;4
25;38;2
26;27;0
26;29;0
26;39;4
27;32;6
28;38;6
29;30;0
32;34;3
32;37;6
33;37;3
35;39;1
38;39;0
