0;1;3
0;3;2
0;6;6
0;7;4
0;8;8
0;10;5
0;12;2
0;13;5
0;14;7
0;16;4
0;26;1
0;28;6
0;39;0
1;3;1
1;4;5
1;10;0
1;11;6
1;13;7
1;19;6
1;20;0
1;23;2
1;24;5
1;26;4
1;29;1
1;31;5
1;32;3
1;37;5
1;38;7
1;39;0
2;3;2
2;8;0
2;9;0
2;10;0
2;13;8
2;15;7
2;17;4
2;19;6
2;24;1
2;26;8
2;28;5
2;31;6
2;32;1
2;33;0
2;36;7
2;37;5
3;5;6
3;11;3
3;15;1
3;18;3
3;21;3
3;22;6
3;23;6
3;28;7
3;30;3
3;32;4
3;34;5
3;36;8
3;37;4
4;8;4
4;10;0
4;11;6
4;13;0
4;15;0
4;22;2
4;24;4
4;26;5
4;28;5
4;32;7
4;38;2
4;39;3
5;7;0
5;8;4
5;11;3
5;13;3
5;16;8
5;17;1
5;18;5
5;19;4
5;21;7
5;22;6
5;24;0
5;26;7
5;37;6
5;38;1
5;39;4
6;8;4
6;11;0
6;15;2
6;18;3
6;20;2
6;21;3
6;22;0
6;23;6
6;26;0
7;9;1
7;10;2
7;13;6
7;20;4
7;21;8
7;25;3
7;27;4
7;29;3
7;30;4
7;34;3
7;35;5
7;38;5
8;9;8
8;13;3
8;17;0
8;18;3
8;19;1
8;20;4
8;22;2
8;27;1
8;29;3
8;34;2
8;38;1
9;12;2
9;13;4
9;15;0
9;18;0
9;29;2
9;31;2
9;33;0
9;34;0
10;12;3
10;16;3
10;18;7
10;19;8
10;20;6
10;21;0
10;26;8
10;29;0
10;31;3
10;33;0
10;39;3
11;15;6
11;16;2
11;17;4
11;20;8
11;22;3
11;27;6
11;28;0
11;30;6
11;36;6
12;16;7
12;17;0
12;21;5
12;22;7
12;23;4
12;26;4
12;27;5
12;30;1
12;33;0
12;39;5
13;14;2
13;17;6
13;23;6
13;31;0
13;32;8
13;34;7
13;36;1
13;38;7
14;15;0
14;17;3
14;18;6
14;19;2
14;21;6
14;24;7
14;25;2
14;28;4
14;30;4
14;32;3
15;17;2
15;24;7
15;26;7
15;36;1
15;39;5
16;17;5
16;22;8
16;24;5
16;25;7
16;29;8
16;33;1
16;38;3
17;18;5
17;21;0
17;22;1
17;26;5
17;31;1
17;32;3
17;33;3
17;36;3
17;37;7
18;19;4
18;21;6
18;23;5
18;25;0
18;29;7
18;32;7
18;33;3
18;36;1
18;37;3
18;38;8
18;39;6
19;20;2
19;21;6
19;22;2
19;26;0
19;28;0
19;38;5
20;22;3
20;25;7
20;28;8
20;29;2
20;30;6
20;32;5
20;34;5
20;39;7
21;22;1
21;28;8
21;30;7
21;31;4
21;33;0
21;38;8
21;39;4
22;27;2
22;31;8
22;32;2
22;33;4
22;35;4
22;36;5
22;38;5
22;39;0
23;25;7
23;30;8
23;31;3
23;32;1
23;33;2
23;34;2
23;35;2
23;37;3
24;27;4
24;28;4
24;31;2
24;32;7
24;35;4
25;28;0
25;33;8
25;34;8
25;35;5
26;27;0
26;29;6
27;32;5
27;34;6
28;29;0
28;31;2
28;33;0
29;32;0
30;34;4
30;37;2
31;32;1
31;34;2
31;39;3
32;34;7
32;35;4
32;37;7
32;38;6
32;39;2
33;35;6
34;37;7
34;38;2
36;38;8
38;39;5
