0;1;2
0;8;3
0;12;1
0;15;3
1;3;3
1;4;1
1;6;1
1;8;0
1;10;2
1;14;3
1;16;2
1;17;3
1;19;2
2;3;2
2;4;3
2;9;0
2;18;2
2;19;2
3;4;1
3;5;2
3;9;0
3;12;3
3;16;0
3;18;1
4;5;2
4;7;0
4;9;2
4;10;1
4;13;2
4;15;2
4;17;3
4;19;1
5;7;1
5;10;2
5;11;3
5;12;3
5;14;3
5;17;3
5;19;0
6;8;2
6;9;0
6;12;2
6;16;1
6;19;1
7;9;3
7;10;2
7;15;2
8;10;2
8;11;0
8;12;2
8;13;1
8;18;0
8;19;2
9;10;2
9;13;2
9;14;2
9;15;3
9;19;2
10;15;0
10;17;1
10;19;2
11;12;3
11;13;2
11;14;3
11;16;1
11;17;1
11;18;3
11;19;0
12;13;1
12;16;0
13;16;3
13;17;2
14;16;1
15;17;3
15;19;3
17;18;3
17;19;1
